,Расстояние
1857,1877
1858,2356
1859,2356
1860,1962
1861,1877
1862,1877
1863,1877
1864,436
1865,436
1866,1877
1867,1877
1868,1877
1869,1877
1870,1877
1871,1877
1872,1877
1873,1877
1874,1877
1875,3754
1876,1877
1877,1877
1878,436
1879,436
1880,1877
1881,1877
1882,1877
1883,2356
1884,1877
1885,2194
1886,2194
1887,1877
1888,1877
1889,2333
1890,2333
1891,1877
1892,1877
1893,1877
1894,1877
1895,1877
1896,1877
1897,169
1898,169
1899,1877
1900,1877
1901,2356
1902,1877
1903,1877
1904,1877
1905,1877
1906,1877
1907,1877
1908,1877
1909,2356
1910,2356
1911,1877
1912,1877
1913,1877
1914,753
1915,3772
1916,3772
1917,1877
1918,1877
1919,1877
1920,1877
1921,1877
1922,1877
1923,1877
1924,1877
1925,1877
1926,1877
1927,1877
1928,1877
1929,1877
1930,1877
1931,1877
1932,1361
1933,4202
1934,436
1935,1877
1936,1877
1937,1877
1938,3772
1939,2356
1940,2356
1941,2356
1942,2356
1943,1877
1944,997
1945,997
1946,997
1947,436
1948,1877
1949,1877
1950,44
1951,1877
1952,1877
1953,1877
1954,1877
1955,4244
1956,1877
1957,2356
1958,2356
1959,0
1960,0
1961,0
1962,1877
1963,1877
1964,1877
1965,1877
1966,1877
1967,1877
1968,436
1969,1877
1970,1877
1971,2356
1972,557
1973,1877
1974,1877
1975,1877
1976,1877
1977,4244
1978,436
1979,436
1980,753
1981,1877
1982,1877
1983,1877
1984,1877
1985,1877
1986,1877
1987,1207
1988,1877
1989,1877
1990,1877
1991,1877
1992,6489
1993,6489
1994,1425
1995,1877
1996,436
1997,1877
1998,2146
1999,2146
2000,1877
2001,2356
2002,2356
2003,1877
2004,1877
2005,2356
2006,2356
2007,3772
2008,2044
2009,2044
2010,1877
2011,1877
2012,4244
2013,4244
2014,1877
2015,1877
2016,1877
2017,1877
2018,1877
2019,2782
2020,1877
2021,1877
2022,1877
2023,2476
2024,2476
2025,2476
2026,1877
2027,1877
2028,1877
2029,1877
2030,1877
2031,1877
2032,1877
2033,1877
2034,1877
2035,1962
2036,1877
2037,4244
2038,4244
2039,1877
2040,1877
2041,1877
2042,1877
2043,1877
2044,1877
2045,1877
2046,1877
2047,1877
2048,1877
2049,1877
2050,1877
2051,1877
2052,1877
2053,2356
2054,1877
2055,1877
2056,1877
2057,1877
2058,1877
2059,2356
2060,2356
2061,2356
2062,2356
2063,1877
2064,1877
2065,1877
2066,1877
2067,4244
2068,1877
2069,1877
2070,753
2071,1877
2072,1877
2073,1877
2074,3964
2075,1877
2076,1877
2077,1877
2078,1962
2079,1877
2080,1877
2081,1877
2082,1877
2083,1877
2084,1877
2085,1877
2086,1877
2087,1877
2088,1877
2089,2356
2090,2356
2091,1877
2092,1877
2093,1877
2094,1877
2095,2356
2096,2356
2097,2670
2098,2670
2099,2356
2100,2356
2101,1877
2102,1877
2103,1877
2104,1877
2105,2617
2106,1877
2107,1877
2108,1877
2109,1877
2110,80
2111,80
2112,80
2113,80
2114,1361
2115,1361
2116,1877
2117,1361
2118,4244
2119,4244
2120,4244
2121,1877
2122,1877
2123,2782
2124,2782
2125,1877
2126,2356
2127,2356
2128,3772
2129,3772
2130,3772
2131,1361
2132,2356
2133,4244
2134,4244
2135,2732
2136,1962
2137,1962
2138,2356
2139,2356
2140,1877
2141,1877
2142,1877
2143,3334
2144,3334
2145,1877
2146,1877
2147,1877
2148,2356
2149,1877
2150,1877
2151,1877
2152,1877
2153,1877
2154,1877
2155,2732
2156,2732
2157,1877
2158,1877
2159,1877
2160,1877
2161,3602
2162,2194
2163,2194
2164,1877
2165,1877
2166,1697
2167,3602
2168,3602
2169,3772
2170,3772
2171,2356
2172,1877
2173,1877
2174,1877
2175,1877
2176,1877
2177,1877
2178,1877
2179,2782
2180,2782
2181,1877
2182,2308
2183,2308
2184,2333
2185,2333
2186,0
2187,1877
2188,6982
2189,1877
2190,1877
2191,2194
2192,1877
2193,1877
2194,1877
2195,2356
2196,1877
2197,1877
2198,1877
2199,1877
2200,2356
2201,1877
2202,1877
2203,1877
2204,1877
2205,1877
2206,1877
2207,2333
2208,1877
2209,1877
2210,1877
2211,1877
2212,1877
2213,2146
2214,2194
2215,2194
2216,1877
2217,1877
2218,1877
2219,1877
2220,2356
2221,2356
2222,6982
2223,6982
2224,1877
2225,1877
2226,1877
2227,1877
2228,1877
2229,1877
2230,1877
2231,1877
2232,1697
2233,1697
2234,2333
2235,2333
2236,2333
2237,1877
2238,1877
2239,1877
2240,2194
2241,2194
2242,1877
2243,1877
2244,1923
2245,1877
2246,1877
2247,1877
2248,1877
2249,1697
2250,1877
2251,1877
2252,1877
2253,1877
2254,1877
2255,1877
2256,1877
2257,1877
2258,1877
2259,1877
2260,2356
2261,2356
2262,1877
2263,2194
2264,2194
2265,2782
2266,2782
2267,1877
2268,1923
2269,3602
2270,1877
2271,1877
2272,3772
2273,3772
2274,1877
2275,1877
2276,3246
2277,2194
2278,3602
2279,1877
2280,1877
2281,1877
2282,1877
2283,2333
2284,2333
2285,1877
2286,1877
2287,1877
2288,1877
2289,1877
2290,1877
2291,3246
2292,1877
2293,1877
2294,1877
2295,1877
2296,3602
2297,1877
2298,1877
2299,1877
2300,1877
2301,1877
2302,1877
2303,1877
2304,1877
2305,1877
2306,2333
2307,2333
2308,1877
2309,1877
2310,1877
2311,1877
2312,1877
2313,3602
2314,3602
2315,1877
2316,2782
2317,1877
2318,2782
2319,2333
2320,2333
2321,3602
2322,3602
2323,3602
2324,2356
2325,1877
2326,1877
2327,1877
2328,2194
2329,3602
2330,3602
2331,2333
2332,2333
2333,1877
2334,2194
2335,2194
2336,1877
2337,1877
2338,1877
2339,0
2340,1877
2341,1877
2342,1877
2343,1877
2344,1877
2345,1877
2346,1877
2347,2194
2348,1877
2349,1877
2350,1877
2351,2308
2352,2308
2353,1877
2354,3602
2355,3602
2356,436
2357,1877
2358,1877
2359,2333
2360,2333
2361,2356
2362,2356
2363,1877
2364,1877
2365,1877
2366,1877
2367,1877
2368,1877
2369,2194
2370,1877
2371,1877
2372,1877
2373,1877
2374,1877
2375,1877
2376,1877
2377,1877
2378,1877
2379,2356
2380,2356
2381,1877
2382,1877
2383,1877
2384,1877
2385,1877
2386,1877
2387,2356
2388,1697
2389,1697
2390,3602
2391,3602
2392,1877
2393,1877
2394,2333
2395,2308
2396,2308
2397,2356
2398,2356
2399,1877
2400,1877
2401,1697
2402,1877
2403,1877
2404,3246
2405,3246
2406,1877
2407,1877
2408,1877
2409,2194
2410,1877
2411,1877
2412,1877
2413,3246
2414,1877
2415,1877
2416,3602
2417,997
2418,997
2419,1877
2420,2333
2421,1877
2422,1877
2423,1877
2424,1877
2425,1877
2426,1877
2427,2333
2428,2333
2429,1877
2430,1877
2431,1877
2432,1877
2433,1877
2434,2782
2435,2782
2436,1697
2437,2083
2438,2083
2439,1697
2440,1877
2441,2024
2442,2333
2443,2333
2444,1877
2445,1877
2446,1877
2447,1877
2448,1877
2449,1877
2450,1877
2451,1877
2452,3246
2453,2333
2454,1877
2455,1877
2456,1877
2457,1877
2458,1877
2459,1877
2460,436
2461,1877
2462,1877
2463,1877
2464,1877
2465,1877
2466,1877
2467,1877
2468,1877
2469,1877
2470,1877
2471,2356
2472,1877
2473,2194
2474,1877
2475,1877
2476,3246
2477,1877
2478,1923
2479,1877
2480,1877
2481,1877
2482,1877
2483,1877
2484,1877
2485,1877
2486,1877
2487,3602
2488,3602
2489,1877
2490,1877
2491,1877
2492,1877
2493,1877
2494,1877
2495,1877
2496,1877
2497,1877
2498,1877
2499,1877
2500,1877
2501,1877
2502,1697
2503,1877
2504,1877
2505,1877
2506,1877
2507,1877
2508,1877
2509,2333
2510,1877
2511,1877
2512,1877
2513,1877
2514,1877
